	Feature	value
7161	können_VMFIN_>_werden_VAINF_>_verwendet_VVPP	-0.0013128248697032653
4060	in_APPR_>_Figur_NN_>_der_ART	0.0013113320024128008
3965	in_APPR_>_Brief_NN_>_einem_ART	0.0013086701426783835
3903	in_APPR_>_Beispielen_NN_>_den_ART	-0.0013067944506341587
963	auf_APPR_>_Ebene_NN_>_der_ART	-0.001295627165506059
5814	ist_VAFIN_>_erkennen_VVINF_>_zu_PTKZU	-0.0012926063422304384
7969	scheint_VVFIN_>_sein_VAINF_>_zu_PTKZU	0.0012880271219788762
4961	ist_VAFIN_>_Anteil_NN_>_der_ART	-0.0012803156924666636
4739	in_APPR_>_Versen_NN_>_den_ART	0.0012785972062553516
1228	auf_APPR_>_Suche_NN_>_nach_APPR	0.0012672198643251678
4770	in_APPR_>_Welt_NN_>_die_ART	0.0012582886785103826
6955	kann_VMFIN_>_werden_VAINF_>_verstanden_VVPP	0.0012522845736403936
4643	in_APPR_>_Sätzen_NN_>_den_ART	-0.0012296879279568202
4465	in_APPR_>_Praxis_NN_>_der_ART	-0.0012278514220024526
3979	in_APPR_>_Darstellung_NN_>_der_ART	0.0012193767802864874
4611	in_APPR_>_Stadt_NN_>_der_ART	0.0012177659767730494
679	als_APPR_>_nur_ADV_>_nicht_PTKNEG	0.00121486016180121
1649	bei_APPR_>_Verwendung_NN_>_der_ART	-0.0012146463537948669
3689	im_APPRART_>_Rahmen_NN_>_Studie_NN	-0.0012145841409962883
709	als_KON_>_in_APPR_>_auch_ADV	-0.0012091104330989035
10607	werden_VAINF_>_angesehen_VVPP_>_als_APPR	-0.001193591990179682
4670	in_APPR_>_Texten_NN_>_den_ART	0.0011929664238972085
2847	für_APPR_>_Leser_NN_>_den_ART	0.0011877482617184242
6899	kann_VMFIN_>_werden_VAINF_>_erklärt_VVPP	-0.001175783766913658
3810	in_APPR_>_Analyse_NN_>_der_ART	-0.0011704885337598901
5370	ist_VAFIN_>_Rede_NN_>_die_ART	0.0011677470837341433
7594	mit_APPR_>_Präposition_NN_>_der_ART	-0.0011600100697144202
8272	sind_VAFIN_>_finden_VVINF_>_zu_PTKZU	-0.0011592458608488544
1644	bei_APPR_>_Verarbeitung_NN_>_der_ART	-0.0011463136906013354
