	Feature	value
73	NN__APPR__NN	-0.10920104337190736
142	APPR__PPOSAT__NN	0.10022347085323034
16	ART__NN__ART	0.09089330206237876
259	APPR__ADJA__NN	-0.08954849699840794
10	NN__APPR__NE	0.0843976420490739
125	NN__ART__NN	0.0762336376423032
258	NN__APPR__ADJA	-0.07601974024487897
243	PPOSAT__ADJA__NN	0.06609911870765842
311	NN__VVPP__VAINF	-0.06229226256503724
9	ADJA__NN__APPR	-0.06054493933576606
82	NN__ADJA__NN	-0.05980276777832663
143	ART__NN__NE	0.057957531922013195
112	NN__PPOSAT__NN	0.05281289066060626
72	PPOSAT__NN__APPR	0.052072413174777316
441	KOUS__ART__NN	-0.050144415579881196
60	ADJA__NN__VAFIN	-0.048896018018479426
99	ADJA__NN__VVINF	-0.047216773523716095
115	APPR__NE__NE	0.04613453188371802
2	ART__ADJA__NN	0.045829255600075586
257	APPR__NN__APPR	-0.04511599421200542
356	APPR__NE__NN	0.04421035919425516
30	APPR__ART__NN	0.04033171531109381
305	APPR__NN__CARD	-0.037680586751430094
911	APPR__CARD__NN	-0.03641527640673957
205	NN__APPR__PPOSAT	0.034722894445459306
71	ADJA__NN__VVPP	-0.03461784666938376
38	ADJA__NN__ADJD	-0.032994665336942064
111	ART__NN__PPOSAT	0.03256458086448889
19	ADJA__NN__ART	0.03176361917948026
273	APPR__PPOSAT__ADJA	0.031609206299964394
34	ART__NN__VVFIN	0.030540419822677106
440	NE__APPR__ART	0.030125912978144417
254	PIAT__ADJA__NN	-0.03002773514623664
349	PPOSAT__NN__VVFIN	0.02981014724081902
451	ADJA__NN__NE	0.029576041751749032
269	ADJA__ADJA__NN	-0.02940089901952419
1	NN__ART__ADJA	0.028978673058467026
384	ART__NN__ADJA	-0.027868904713665623
1174	NN__APPR__CARD	-0.027705033376915662
144	NN__NE__NE	0.02741321834490178
87	ADV__APPR__ART	0.027231996683469702
312	VVPP__VAINF__VMFIN	-0.026335696422722668
1389	CARD__NN__APPR	-0.026274401527846547
140	NE__NE__APPR	0.02613174646075428
139	NE__NE__NE	0.025931251264375947
88	ART__NN__ADJD	-0.025668332025999958
42	NN__APPRART__NN	-0.02544136756449375
15	VVFIN__ART__NN	0.024959336622355006
70	KON__ADJA__NN	-0.024276097518305513
184	ADV__ADJA__NN	-0.024199607390132175
