	Feature	value
103	VMFIN_>_NN_SB_>_APPR_MNR	-0.012446758174358747
318	VVFIN_>_NN_SB_>_PIAT_NK	-0.012389844735029482
370	NN_>_VVINF_RC_>_PRELS_SB	-0.012093378539082794
604	KON_>_VVFIN_CJ_>_PRF_OA	0.011954945574968217
353	VAFIN_>_VVPP_OC_>_APPRART_MO	-0.011890636474211888
128	APPR_>_NN_NK_>_NE_NK	0.011834899023510799
329	VVFIN_>_APPR_MO_>_PRELS_NK	0.01158558223481991
548	VVFIN_>_ADV_MO_>_ADV_MO	0.011432068050293787
478	VAFIN_>_VVPP_OC_>_PROAV_MO	-0.011420188583741433
1815	VVFIN_>_VVFIN_CJ_>_PPER_SB	0.011399904922341629
109	NN_>_VAFIN_RC_>_PRELS_SB	0.011342837984904918
161	VAFIN_>_NE_SB_>_NE_PNC	0.011333433374698233
266	NN_>_VVPP_RC_>_PRELS_SB	0.011299782204642441
532	VMFIN_>_NN_SB_>_NN_AG	-0.01123682602305459
8039	VVFIN_>_PPER_SB_>_ART_NK	0.011187190051223421
17	APPR_>_NN_NK_>_ART_NK	0.01115282776097079
67	ADJA_>_KON_CD_>_ADJA_CJ	-0.011089024217333543
754	NN_>_VVINF_OC_>_PTKZU_PM	0.01096121937947611
95	VVINF_>_NN_OA_>_APPR_MNR	-0.010943723482377859
301	VVFIN_>_VVFIN_CJ_>_APPR_MO	0.010653970577475327
484	KON_>_VVFIN_CJ_>_NN_SB	0.01051468153056287
5	VMFIN_>_VVINF_OC_>_NN_OA	-0.010436436040528026
1019	VVPP_>_NN_OA_>_PPOSAT_NK	0.010417553878557828
1276	NN_>_CARD_NK_>_KON_CD	-0.010261696048330549
316	VVFIN_>_NN_SB_>_VVFIN_RC	0.010241679595632283
25	VAFIN_>_NN_SB_>_KON_CD	-0.010222270111175097
340	NN_>_ADJA_NK_>_ADV_MO	-0.010176254762015932
1927	NN_>_NN_AG_>_CARD_NK	-0.010066173636524997
2071	VVINF_>_NN_SB_>_ADJA_NK	-0.009587817167572277
516	APPR_>_NE_NK_>_NE_AG	0.009555337363737983
159	VVFIN_>_NN_OA_>_KON_CD	0.009527540943309019
686	VAFIN_>_NN_OA_>_ADJA_NK	-0.009438432394552864
15	NN_>_NN_AG_>_ADJA_NK	-0.009436296966276833
113	NN_>_VAFIN_RC_>_VVPP_OC	0.009357875048186842
310	NN_>_VVFIN_RC_>_ADJD_MO	0.009318727596334049
341	VVFIN_>_APPR_MO_>_ADV_MO	0.009256868010802902
1906	VVINF_>_NN_SB_>_ART_NK	-0.009225790050190356
615	VAFIN_>_KON_CD_>_VVFIN_CJ	0.009128829555081194
365	NN_>_VVFIN_RC_>_NN_SB	0.009089307383214338
1156	NN_>_VVFIN_RC_>_APPRART_MO	0.009009020890900273
717	VMFIN_>_VAFIN_MO_>_KOUS_CP	-0.008939557013313115
605	KON_>_VVFIN_CJ_>_ADJD_MO	0.00887247386411508
402	APPRART_>_NN_NK_>_APPR_PG	-0.008846754251820367
230	NN_>_APPR_OP_>_NN_NK	0.008776243016451891
761	VAINF_>_VVPP_OC_>_APPRART_MO	-0.008706510643820923
418	NN_>_NN_AG_>_PIAT_NK	-0.008692234299490372
555	VAFIN_>_ADJD_PD_>_ADV_MO	-0.008688465314460513
32	NN_>_NN_CJ_>_ART_NK	0.008630371409710362
1445	NN_>_VVFIN_RC_>_NE_SB	0.008531254956928034
288	KON_>_NN_CJ_>_CARD_NK	-0.008524727054658777
2771	APPR_>_PRF_NK_>_ADV_MNR	0.008505857255359682
56	VVFIN_>_KON_CD_>_VAFIN_CJ	0.008323351416271923
965	APPR_>_APPR_CJ_>_NN_NK	0.008295897391496202
462	NN_>_VVINF_RC_>_NN_OA	-0.008252848472561101
719	VMFIN_>_VAFIN_MO_>_NN_SB	-0.008211541030069405
228	VAFIN_>_NN_SB_>_ADV_MO	-0.008190709085901318
1774	PROAV_>_VAFIN_RE_>_NN_SB	-0.007954883122958802
9	APPRART_>_NN_NK_>_APPR_MNR	-0.007929884567172406
536	KON_>_NN_CJ_>_NN_AG	0.007908338766307383
75	NN_>_NN_CC_>_KOKOM_CM	-0.007902451496304624
238	VVFIN_>_NN_DA_>_ADJA_NK	0.007758609046163286
141	ADJA_>_APPR_MO_>_NN_NK	-0.007725450270867777
494	VVPP_>_APPR_MO_>_NE_NK	0.007713855820975996
773	VVFIN_>_VVINF_OC_>_PRF_OA	-0.007620967669771779
2698	NN_>_VVPP_RC_>_NN_OA	0.007571278827175093
1063	VAINF_>_VVPP_OC_>_ADV_MO	-0.007554043125923178
2619	NN_>_VAINF_RC_>_VVPP_OC	-0.00737061523395882
35	NN_>_NN_CJ_>_KON_CD	-0.0073391909648825825
1174	VAFIN_>_VVFIN_OC_>_APPR_MO	-0.0072844451846268005
165	VAFIN_>_NN_PD_>_NN_AG	0.0072282133572168185
1240	VVFIN_>_VVINF_MO_>_PTKZU_PM	0.007222205047705747
1068	PROAV_>_VAFIN_RE_>_KOUS_CP	-0.0071832682406915375
2115	VAINF_>_NN_SB_>_ADJA_NK	-0.007140522600547136
585	VAFIN_>_NN_SB_>_APPRART_MNR	-0.00710605263570637
400	VVFIN_>_NN_OA_>_APPR_MNR	0.0070952016350592124
132	KON_>_NE_CJ_>_NE_PNC	0.007056438961327564
272	VVFIN_>_VVFIN_MO_>_APPR_MO	0.00701103441690357
592	NN_>_VMFIN_RC_>_VVINF_OC	0.006978660335733617
493	VAFIN_>_NN_SB_>_APPR_PG	-0.006972934856647743
416	VVPP_>_NN_OA_>_ADJA_NK	0.006942432184474434
211	VVINF_>_NN_DA_>_ART_NK	0.006918754676070019
459	VVFIN_>_VVFIN_CJ_>_ADV_MO	0.006908147730454383
1109	VVFIN_>_NN_OA_>_NE_AG	0.0067944159591757
454	VVFIN_>_VAFIN_OC_>_KOUS_CP	-0.0067843877509916484
772	APPRART_>_NN_NK_>_NE_AG	0.0067587537054870014
352	VAFIN_>_VVPP_OC_>_PRF_OA	0.006753354519070848
685	VAFIN_>_NN_OA_>_ART_NK	-0.0067426461255254274
1571	KON_>_VVFIN_CJ_>_PPER_OA	0.006631907905084071
1863	VVFIN_>_VVINF_MO_>_KOUI_CP	0.006626264850982016
835	NN_>_NN_AG_>_NE_AG	0.006611791846783326
118	VAFIN_>_VVPP_OC_>_NN_OA	0.006571971565639134
303	VVFIN_>_VVFIN_CJ_>_KON_CD	0.006532513442393869
376	VVFIN_>_APPR_OP_>_NN_NK	-0.006527908017752881
469	NN_>_ADV_MO_>_PTKNEG_NG	0.006449778834649229
845	NN_>_VAFIN_RC_>_PPER_SB	0.006417051861785143
322	VVFIN_>_VVFIN_MO_>_ADV_MO	0.0063980770722618175
401	NN_>_NN_AG_>_NE_NK	0.00638775937950698
292	VVPP_>_NN_DA_>_ART_NK	0.006353331387541221
1810	VVFIN_>_APPR_MO_>_PRF_NK	0.006352608151046962
1387	VAFIN_>_NN_SB_>_NN_NK	-0.006351426319032302
621	VMFIN_>_VAINF_OC_>_ADJD_PD	-0.006347215512148411
221	KON_>_VVFIN_CJ_>_KON_CD	0.006330291881203918
296	NN_>_VMFIN_RC_>_VAINF_OC	-0.006310541091187436
527	APPR_>_NN_NK_>_VAFIN_RC	0.006287278970124166
187	VVFIN_>_NN_OA_>_VVFIN_RC	0.006259245735668155
3041	VAFIN_>_VVIZU_OC_>_APPR_MO	-0.00625749124500025
172	APPR_>_KON_CD_>_APPR_CJ	-0.006206167518448007
124	VVFIN_>_NN_SB_>_KON_CD	0.0061523131115859666
225	VAFIN_>_VVPP_PD_>_ADJD_MO	-0.006092695712168823
823	KON_>_VVFIN_CJ_>_PROAV_MO	0.00608561184710877
445	NN_>_NE_AG_>_ART_NK	0.006063005915758575
435	NN_>_APPR_MNR_>_KON_CD	-0.006061593162702088
897	APPR_>_NN_NK_>_NN_NK	-0.00602356857002074
179	VMFIN_>_NN_SB_>_KON_CD	-0.006006270449077384
616	KON_>_VVFIN_CJ_>_PTKVZ_SVP	0.005961290864844801
988	VAFIN_>_VVPP_OC_>_PTKNEG_NG	-0.005933722835242222
2656	NN_>_XY_NK_>_XY_PNC	-0.005932354983538933
1707	NE_>_NE_CJ_>_NE_CJ	-0.005897770395402336
588	VMFIN_>_NN_SB_>_ADV_MO	-0.005896113081156689
2618	NN_>_VAINF_RC_>_PRELS_SB	-0.005865740026858411
531	NN_>_CARD_NK_>_CARD_NMC	-0.005849075182241337
509	NN_>_VAFIN_RC_>_ADJD_PD	-0.00579485215219476
654	VVINF_>_NN_OA_>_PIAT_NK	-0.0057597331926305465
417	VVFIN_>_NN_SB_>_PDAT_NK	0.005732671426576651
42	VVFIN_>_ADJD_MO_>_ADV_MO	0.00569849243338629
949	VAFIN_>_APPR_MO_>_NE_NK	0.005697209023952188
